"Table 5: Healthy Life Expectancy (HLE1) estimates by SIMD quintile in Scotland, 2018-2020",,,,,,,,,
,,,,,,,,,
SIMD quintile,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%)
,,,,,,,,,
,,,,,,,,,
Quintile 1 (most deprived),Female,<1,76.12,75.91,76.34,50.16,48.75,51.56,65.89
Quintile 1 (most deprived),Female,1 to 4,75.43,75.23,75.64,49.49,48.08,50.90,65.61
Quintile 1 (most deprived),Female,5 to 9,71.49,71.29,71.69,46.06,44.68,47.45,64.43
Quintile 1 (most deprived),Female,10 to 14,66.53,66.33,66.73,41.81,40.47,43.15,62.84
Quintile 1 (most deprived),Female,15 to 19,61.57,61.37,61.77,37.61,36.31,38.90,61.08
Quintile 1 (most deprived),Female,20 to 24,56.68,56.49,56.88,33.57,32.33,34.81,59.22
Quintile 1 (most deprived),Female,25 to 29,51.84,51.65,52.03,29.68,28.49,30.87,57.25
Quintile 1 (most deprived),Female,30 to 34,47.01,46.82,47.20,25.90,24.75,27.04,55.09
Quintile 1 (most deprived),Female,35 to 39,42.31,42.12,42.49,22.36,21.25,23.47,52.85
Quintile 1 (most deprived),Female,40 to 44,37.79,37.62,37.97,19.14,18.07,20.20,50.64
Quintile 1 (most deprived),Female,45 to 49,33.41,33.24,33.57,16.18,15.17,17.18,48.43
Quintile 1 (most deprived),Female,50 to 54,29.15,28.99,29.31,13.48,12.52,14.44,46.24
Quintile 1 (most deprived),Female,55 to 59,25.00,24.85,25.15,11.06,10.16,11.97,44.26
Quintile 1 (most deprived),Female,60 to 64,20.98,20.84,21.12,8.93,8.08,9.79,42.58
Quintile 1 (most deprived),Female,65 to 69,17.26,17.12,17.39,7.00,6.19,7.82,40.58
Quintile 1 (most deprived),Female,70 to 74,13.83,13.71,13.95,5.29,4.48,6.10,38.25
Quintile 1 (most deprived),Female,75 to 79,10.83,10.72,10.94,3.91,3.10,4.71,36.07
Quintile 1 (most deprived),Female,80 to 84,8.21,8.11,8.32,2.81,2.02,3.60,34.21
Quintile 1 (most deprived),Female,85 to 89,6.06,5.95,6.18,2.00,1.32,2.68,33.04
Quintile 1 (most deprived),Female,90+,4.36,4.22,4.51,1.46,0.79,2.14,33.53
Quintile 1 (most deprived),Male,<1,70.29,70.06,70.52,48.15,46.75,49.55,68.51
Quintile 1 (most deprived),Male,1 to 4,69.63,69.41,69.85,47.53,46.13,48.94,68.26
Quintile 1 (most deprived),Male,5 to 9,65.67,65.45,65.89,44.16,42.79,45.53,67.24
Quintile 1 (most deprived),Male,10 to 14,60.70,60.48,60.91,39.93,38.62,41.24,65.78
Quintile 1 (most deprived),Male,15 to 19,55.74,55.52,55.95,35.71,34.46,36.96,64.07
Quintile 1 (most deprived),Male,20 to 24,50.97,50.76,51.18,31.63,30.44,32.81,62.06
Quintile 1 (most deprived),Male,25 to 29,46.29,46.08,46.49,27.66,26.53,28.80,59.76
Quintile 1 (most deprived),Male,30 to 34,41.67,41.47,41.87,23.83,22.75,24.92,57.20
