"Table 1: Healthy Life Expectancy (HLE1) estimates in Scotland, 2017-2019",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Area Code,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,<1,81.14,81.05,81.23,61.94,61.48,62.40,76.34,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,1 to 4,80.37,80.29,80.45,61.20,60.73,61.66,76.14,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,5 to 9,76.41,76.33,76.49,57.56,57.10,58.02,75.33,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,10 to 14,71.43,71.35,71.51,53.01,52.56,53.46,74.21,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,15 to 19,66.47,66.39,66.55,48.51,48.07,48.95,72.98,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,20 to 24,61.54,61.47,61.62,44.10,43.68,44.53,71.66,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,25 to 29,56.63,56.55,56.71,39.78,39.37,40.19,70.25,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,30 to 34,51.73,51.65,51.81,35.55,35.15,35.94,68.72,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,35 to 39,46.88,46.80,46.95,31.43,31.05,31.81,67.05,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,40 to 44,42.14,42.07,42.22,27.50,27.14,27.87,65.26,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,45 to 49,37.48,37.41,37.55,23.74,23.39,24.09,63.33,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,50 to 54,32.86,32.80,32.93,20.13,19.79,20.47,61.25,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,55 to 59,28.37,28.30,28.43,16.75,16.42,17.08,59.04,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,60 to 64,24.01,23.95,24.07,13.60,13.29,13.92,56.66,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,65 to 69,19.85,19.79,19.91,10.69,10.38,11.00,53.85,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,70 to 74,15.93,15.88,15.98,8.07,7.76,8.37,50.64,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,75 to 79,12.28,12.23,12.34,5.79,5.49,6.10,47.14,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,80 to 84,9.13,9.08,9.18,3.98,3.70,4.26,43.57,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,85 to 89,6.47,6.42,6.52,2.60,2.37,2.84,40.20,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,90+,4.46,4.40,4.52,1.67,1.45,1.89,37.39,,,,,,,,,,,,,,,,
Scotland,S92000003,Male,<1,77.16,77.06,77.25,61.68,61.26,62.09,79.94,,,,,,,,,,,,,,,,
