"Table 1: Healthy Life Expectancy (HLE1) estimates in Scotland, 2019-2021",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Area Code,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,<1,80.81,80.73,80.90,61.07,60.47,61.66,75.57,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,1 to 4,80.07,79.99,80.15,60.38,59.78,60.97,75.41,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,5 to 9,76.11,76.03,76.19,56.89,56.31,57.47,74.75,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,10 to 14,71.13,71.05,71.21,52.51,51.95,53.06,73.82,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,15 to 19,66.16,66.08,66.24,48.15,47.62,48.67,72.77,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,20 to 24,61.22,61.14,61.30,43.87,43.37,44.37,71.65,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,25 to 29,56.32,56.24,56.40,39.67,39.20,40.15,70.44,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,30 to 34,51.44,51.36,51.51,35.55,35.09,36.00,69.11,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,35 to 39,46.60,46.52,46.67,31.51,31.09,31.94,67.63,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,40 to 44,41.85,41.78,41.92,27.64,27.23,28.05,66.04,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,45 to 49,37.21,37.14,37.28,23.93,23.55,24.32,64.32,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,50 to 54,32.65,32.58,32.71,20.38,20.02,20.75,62.44,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,55 to 59,28.17,28.11,28.23,17.03,16.68,17.37,60.44,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,60 to 64,23.83,23.77,23.89,13.89,13.56,14.22,58.28,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,65 to 69,19.70,19.64,19.75,10.97,10.65,11.28,55.68,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,70 to 74,15.80,15.74,15.85,8.32,8.01,8.63,52.68,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,75 to 79,12.17,12.12,12.22,6.01,5.70,6.32,49.40,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,80 to 84,9.01,8.96,9.05,4.15,3.87,4.43,46.06,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,85 to 89,6.40,6.35,6.45,2.75,2.51,2.99,42.98,,,,,,,,,,,,,,,,
Scotland,S92000003,Female,90+,4.38,4.32,4.44,1.78,1.55,2.00,40.56,,,,,,,,,,,,,,,,
Scotland,S92000003,Male,<1,76.58,76.48,76.68,60.39,59.86,60.92,78.86,,,,,,,,,,,,,,,,
