"Table 3: Healthy Life Expectancy (HLE1) estimates by health board in Scotland, 2019-2021",,,,,,,,,,
,,,,,,,,,,
NHS Board,Area code,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%)
,,,,,,,,,,
,,,,,,,,,,
Ayrshire and Arran,S08000015,Female,<1,79.93,79.59,80.27,57.97,56.26,59.69,72.53
Ayrshire and Arran,S08000015,Female,1 to 4,79.14,78.82,79.46,57.22,55.51,58.94,72.30
Ayrshire and Arran,S08000015,Female,5 to 9,75.16,74.84,75.48,53.63,51.95,55.31,71.35
Ayrshire and Arran,S08000015,Female,10 to 14,70.18,69.87,70.50,49.21,47.59,50.82,70.11
Ayrshire and Arran,S08000015,Female,15 to 19,65.23,64.92,65.54,44.88,43.35,46.42,68.81
Ayrshire and Arran,S08000015,Female,20 to 24,60.30,59.99,60.60,40.67,39.23,42.12,67.45
Ayrshire and Arran,S08000015,Female,25 to 29,55.41,55.10,55.71,36.60,35.25,37.96,66.07
Ayrshire and Arran,S08000015,Female,30 to 34,50.58,50.29,50.87,32.68,31.39,33.98,64.62
Ayrshire and Arran,S08000015,Female,35 to 39,45.89,45.61,46.17,28.95,27.74,30.16,63.09
Ayrshire and Arran,S08000015,Female,40 to 44,41.21,40.95,41.48,25.34,24.20,26.48,61.48
Ayrshire and Arran,S08000015,Female,45 to 49,36.66,36.41,36.91,21.92,20.86,22.98,59.79
Ayrshire and Arran,S08000015,Female,50 to 54,32.18,31.95,32.42,18.67,17.67,19.67,58.01
Ayrshire and Arran,S08000015,Female,55 to 59,27.75,27.53,27.98,15.58,14.63,16.53,56.15
Ayrshire and Arran,S08000015,Female,60 to 64,23.39,23.18,23.60,12.68,11.78,13.57,54.19
Ayrshire and Arran,S08000015,Female,65 to 69,19.31,19.11,19.51,10.06,9.21,10.91,52.09
Ayrshire and Arran,S08000015,Female,70 to 74,15.42,15.23,15.60,7.66,6.85,8.47,49.70
Ayrshire and Arran,S08000015,Female,75 to 79,11.87,11.70,12.05,5.60,4.78,6.42,47.19
Ayrshire and Arran,S08000015,Female,80 to 84,8.76,8.59,8.92,3.90,3.15,4.65,44.54
Ayrshire and Arran,S08000015,Female,85 to 89,6.23,6.06,6.39,2.61,1.98,3.24,41.91
Ayrshire and Arran,S08000015,Female,90+,4.31,4.10,4.52,1.70,1.11,2.29,39.39
Ayrshire and Arran,S08000015,Male,<1,75.24,74.85,75.62,57.39,55.70,59.09,76.29
Ayrshire and Arran,S08000015,Male,1 to 4,74.38,74.01,74.75,56.59,54.89,58.29,76.08
Ayrshire and Arran,S08000015,Male,5 to 9,70.46,70.09,70.83,53.02,51.36,54.68,75.25
Ayrshire and Arran,S08000015,Male,10 to 14,65.48,65.12,65.85,48.55,46.96,50.13,74.13
Ayrshire and Arran,S08000015,Male,15 to 19,60.49,60.13,60.86,44.12,42.61,45.63,72.93
Ayrshire and Arran,S08000015,Male,20 to 24,55.67,55.32,56.03,39.88,38.46,41.30,71.63
