"Table 6: Healthy Life Expectancy (HLE1) estimates by urban rural classification in Scotland, 2019-2021",,,,,,,,,
,,,,,,,,,
Urban Rural (2016) code,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%)
,,,,,,,,,
,,,,,,,,,
UR1,Female,<1,80.23,80.08,80.39,60.63,59.47,61.79,75.57
UR1,Female,1 to 4,79.51,79.36,79.65,59.97,58.81,61.13,75.43
UR1,Female,5 to 9,75.55,75.41,75.69,56.53,55.40,57.66,74.83
UR1,Female,10 to 14,70.57,70.43,70.71,52.21,51.13,53.29,73.98
UR1,Female,15 to 19,65.61,65.47,65.75,47.91,46.89,48.94,73.03
UR1,Female,20 to 24,60.68,60.54,60.82,43.68,42.71,44.65,71.98
UR1,Female,25 to 29,55.77,55.63,55.90,39.49,38.56,40.42,70.81
UR1,Female,30 to 34,50.85,50.72,50.99,35.34,34.44,36.24,69.49
UR1,Female,35 to 39,45.98,45.85,46.12,31.30,30.43,32.17,68.06
UR1,Female,40 to 44,41.23,41.10,41.36,27.44,26.60,28.28,66.56
UR1,Female,45 to 49,36.59,36.47,36.72,23.78,22.98,24.58,64.98
UR1,Female,50 to 54,32.09,31.97,32.21,20.31,19.56,21.07,63.30
UR1,Female,55 to 59,27.68,27.56,27.80,17.03,16.31,17.75,61.53
UR1,Female,60 to 64,23.42,23.31,23.53,13.96,13.27,14.65,59.61
UR1,Female,65 to 69,19.37,19.26,19.47,11.09,10.43,11.76,57.27
UR1,Female,70 to 74,15.53,15.43,15.63,8.48,7.83,9.12,54.60
UR1,Female,75 to 79,12.01,11.91,12.10,6.21,5.58,6.84,51.73
UR1,Female,80 to 84,8.95,8.87,9.03,4.37,3.83,4.91,48.83
UR1,Female,85 to 89,6.44,6.36,6.52,2.96,2.50,3.42,46.01
UR1,Female,90+,4.41,4.31,4.52,1.93,1.50,2.37,43.80
UR1,Male,<1,75.53,75.37,75.70,58.77,57.68,59.86,77.80
UR1,Male,1 to 4,74.81,74.66,74.97,58.08,56.99,59.17,77.63
UR1,Male,5 to 9,70.87,70.72,71.02,54.50,53.43,55.56,76.90
UR1,Male,10 to 14,65.90,65.75,66.05,49.99,48.97,51.00,75.85
UR1,Male,15 to 19,60.94,60.79,61.09,45.49,44.53,46.45,74.65
UR1,Male,20 to 24,56.06,55.92,56.21,41.09,40.18,41.99,73.28
UR1,Male,25 to 29,51.23,51.08,51.37,36.75,35.87,37.63,71.74
UR1,Male,30 to 34,46.39,46.25,46.54,32.48,31.63,33.33,70.01
UR1,Male,35 to 39,41.65,41.50,41.79,28.36,27.54,29.19,68.11
UR1,Male,40 to 44,37.03,36.89,37.17,24.47,23.67,25.26,66.07
UR1,Male,45 to 49,32.63,32.49,32.76,20.84,20.09,21.59,63.88
UR1,Male,50 to 54,28.41,28.29,28.54,17.46,16.75,18.17,61.46
UR1,Male,55 to 59,24.37,24.25,24.48,14.33,13.66,15.00,58.82
UR1,Male,60 to 64,20.41,20.30,20.52,11.43,10.79,12.07,56.02
